Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C19, C2, C4, C6, C7, C9",0402,14,100n,C1525
"C10, C8",0402,2,1u,C52923
"C18, C20",0402,2,30p,C913871
"C21, C22, C23, C24, C3, C5",0805,6,10u,C15850
D2,LED0603-R-RD,1,Red LED 0603,C84263
F1,1812,1,750mA,C883146
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,-
J1,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Male,Liansheng
"J12, J8",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Male,C429954
J2,MICRO-USB-SMD_MICRO-USB-A17,1,USB_B_Micro,C145793
"J3, J6","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",2,Conn_01x02_Male,C466970
J4,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,C429960
J5,"TerminalBlock_Phoenix_PT-1,5-8-3.5-H_1x08_P3.50mm_Horizontal",1,Conn_01x08_Male,C5184954
J9,MOLEX_104031-0811,1,Micro_SD_Card_Det2,C585350
"JP1, JP4",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Open,-
JP8,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Bridged,-
Q1,SOT-23,1,DMG2305UX,C150470
"R1, R10, R15",0402,3,1k,C11702
"R11, R12, R16, R17, R18, R19, R20, R21, R22, R3",0402,10,2.2K,C25879
R13,0402,1,10K,C25744
R14,0402,1,47K,C25792
R2,0603,1,DNF,-
"R4, R5",0402,2,27,C138021
"R6, R7, R8, R9",1206,4,4.7K,C17936
RV1,AM-Pot_01,1,R_Pot+SW,-
"SW1, SW2, SW3",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,3,SW_DIP_x01,C318884
SW4,SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm,1,Conn_01x04_Male,C2842911
U1,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U10,DMMT5401-7-F,1,DMMT5401-7-F,C154733
U11,SOT-23-6,1,USBLC6-2SC6,C558442
U2,SOT-223-3_TabPin2,1,Voltage Regulator Fixed 3.3V,C6186
U3,RP2040-QFN-56,1,RP2040,C2040
"U4, U5",TSSOP-20_4.4x6.5mm_P0.65mm,2,74HCT245,C6779
U6,IL-DC-DC-XP,1,IL_DC-DC,-
U7,SOP-16_L10.3-W4.4-P1.27-LS7.0-BL,1,OPTO-TRANSISTOR-4,C60900
U8,VSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
Y2,Crystal YSX321SL,1,Crystal_GND24,C5182760
